Player,N,Team,Total AV,Position,School,College Gms,Yrs at College,Missed Gm in COL,Avg Pos Rk,Rd Drafted,Pos # Dr.,Org AllPro at Pos,Avg rk contract,First Start,Team Playoffs?,Arms,Hands,Bench Press,40 (Official),Vertical,Broad,3 Cone,20 Yard Shuttle
Brandon Burks,348,GB,0,RB,2,44,1,,36,8,20,1,0.54,5,0,30,8.25,24,4.56,37,120,6.88,4.18
Joe Callahan,349,GB,0,QB,4,44,2,,26,8,15,6,0.54,5,0,30.25,9.5,18,4.98,33,107,7.47,4.7
Makinton Dorleant,350,GB,0,CB,3,52,2,,40,8,31,6,0.495,5,0,,,16,4.4,39,123,7.03,4.45
Marwin Evans,351,GB,2,S,2,27,4,,24,8,20,8,0.54,4,0,32.25,8.75,19,4.47,42,121,7.26,4.27
Reggie Gilbert,352,GB,5,LB,1,61,2,,43,8,34,6,0.54,4,0,32.25,9.13,24,4.88,33.5,114,7.31,4.53
Josh Hawkins,353,GB,2,CB,2,50,2,,40,8,31,6,0.542,4,0,32.5,8,14,4.39,40.5,125,7.22,4.09
Don Jackson,354,GB,0,RB,2,35,4,,36,8,20,1,0.542,2,0,29.75,9.38,15,4.5,38.5,118,7.09,4.34
Brian Price,355,GB,2,DT,2,40,4,,28,8,23,0,0.54,4,0,30.63,9.38,20,5.17,27,103,8.22,4.72
Herb Waters,356,GB,0,WR,1,49,1,,65,8,31,5,0.54,5,0,32.63,9.25,14,4.51,38.5,121,6.73,4.1
Kyle Carter,357,MIN,0,TE,1,43,1,,13,8,11,0,0.54,5,0,34.13,10.25,13,4.64,35.5,122,7.09,4.37
C.J. Ham,358,MIN,5,RB,4,43,1,,36,8,20,5,0.49,4,0,31.25,9.13,22,4.65,37,118,7.34,4.35
Marken Michel,359,MIN,0,WR,2,27,1,,65,8,31,6,0.45,5,0,,,,,,,,
Jake Brendel,360,DAL,2,C,1,52,2,,12,8,7,0,0.54,4,1,31.63,9,25,5.01,28,108,7.31,4.27
Rodney Coe,361,DAL,0,DT,2,24,4,,28,8,23,12,0.54,5,1,32.88,9.75,,,,,,
Ed Eagan,362,DAL,0,WR,3,44,1,,53,8,31,6,0.54,5,1,,,,,,,,
Andy Jones,363,DAL,1,WR,3,41,1,,65,8,31,6,0.545,5,1,32,9.38,11,4.55,41.5,133,6.97,4.35
Deon King,364,DAL,1,LB,3,46,1,,43,8,34,10,0.542,5,1,30.88,9.25,,4.7,32.5,121,7.25,4.4
Austin Traylor,365,DAL,1,TE,1,38,2,,25,8,11,3,0.54,4,1,32.75,9.25,16,4.91,33.5,113,7.44,4.7
Zach Wood,366,DAL,6,DE,2,43,2,,23,8,19,5,0.54,3,1,,,25,4.9,31,99,7.43,4.67
Andrew Adams,367,NYG,13,S,2,44,2,,24,8,20,0,0.54,2,4,31.75,9.25,24,4.54,33,118,6.96,4.32
Donte Deayon,368,NYG,0,CB,2,40,1,,37,8,31,2,0.54,5,4,29.38,8.5,12,4.57,37.5,127,6.78,4.2
Michael Hunter,369,NYG,0,CB,1,49,2,,40,8,31,2,0.54,5,4,32,8.75,17,4.4,38.5,121,7.27,4.29
Roger Lewis,370,NYG,4,WR,2,28,4,,26,8,31,0,0.546,2,4,32,9.75,8,4.57,33.5,116,,
Ryan Malleck,371,NYG,0,TE,1,52,2,,17,8,11,3,0.54,5,4,32.5,9.38,18,,34.5,121,7,4.33
Romeo Okwara,372,NYG,17,DE,1,52,1,,19,8,19,3,0.545,2,4,34.13,10.13,23,4.9,33,120,7.38,4.53
Darius Powe,373,NYG,0,WR,1,46,1,,65,8,31,0,0.54,4,4,,,,,,,,
Quentin Gause,374,PHI,0,LB,1,49,2,,43,8,34,3,0.542,5,2,,,,,,,,
Dillon Gordon,375,PHI,0,TE,1,30,1,,25,8,11,4,0.543,5,2,,,,,,,,
Marcus Johnson,376,PHI,5,WR,1,35,1,,65,8,31,3,0.541,4,2,31.88,9.25,22,4.39,37,135,7.26,4.39
Hunter Sharp,377,PHI,0,WR,2,25,4,,22,8,31,3,0.541,4,2,31.63,9.38,12,4.58,32.5,116,7.12,4.19
C.J. Smith,378,PHI,1,CB,2,58,1,,40,8,31,3,0.542,5,2,31.63,9.5,7,4.57,39,131,7,4.31
Paul Turner,379,PHI,1,WR,2,31,2,,65,8,31,3,0.541,2,2,30.63,9.5,18,4.55,39,122,7.25,4.31
Destiny Vaeao,380,PHI,3,DT,1,41,1,,24,8,23,4,0.543,4,2,32.5,10,27,5.21,35.5,108,7.73,4.56
Maurice Harris,381,WSH,3,WR,1,42,2,,65,8,31,3,0.541,4,0,,,,,,,,
Rob Kelley,382,WSH,6,RB,2,50,2,,36,8,20,4,0.541,2,0,30,9.5,16,4.68,29.5,110,7.19,4.63
Joe Kerridge,383,WSH,0,FB,1,42,2,,9,8,3,0,0.54,5,0,31.13,9.5,24,4.89,34.5,117,7.09,4.24
Anthony Lanier,384,WSH,2,DE,3,35,1,,23,8,19,1,0.543,4,0,,,,,,,,
J.D. McKissic,385,ATL,11,WR,2,51,2,,65,8,31,4,0.54,4,3,29,9.63,17,4.57,37,122,7,4.44
Sharrod Neasman,386,ATL,5,S,2,42,1,,24,8,20,0,0.543,4,3,32,9,25,4.68,37,128,6.78,4.03
